"name","calories","protein","fat","price","spicy","type","taste","tags","position"
"红豆布丁奶茶","380","3","12","10元","否","饮品","甜润","中餐;饮品;饮料;奶茶;普通能量","风味餐厅二楼"
"黑糖波波奶茶","380","3","12","10元","否","饮品","焦糖","中餐;饮品;饮料;奶茶;普通能量","风味餐厅二楼"
"阿尔卑斯奶茶","380","3","12","10元","否","饮品","焦糖","中餐;饮品;饮料;奶茶;普通能量","风味餐厅二楼"
"芋泥波波奶茶","380","3","12","10元","否","饮品","浓郁","中餐;饮品;饮料;奶茶;普通能量","风味餐厅二楼"
"抹茶咸乳酪","380","3","12","13元","否","饮品","咸甜","中餐;饮品;饮料;普通能量","风味餐厅二楼"
"金桔柠檬茶","90","0","0","8元","否","饮品","酸甜","中餐;饮品;饮料;果茶;低热量","风味餐厅二楼"
"柠檬打奶","90","0","0","9元","否","饮品","酸甜","中餐;饮品;饮料;低热量","风味餐厅二楼"
"柠檬红茶","90","0","0","10元","否","饮品","清甜","中餐;饮品;饮料;低热量","风味餐厅二楼"
"白月光柠檬茶","90","0","0","10元","否","饮品","清爽","中餐;饮品;饮料;果茶;低热量","风味餐厅二楼"
"满杯鲜橙","90","0","0","12元","否","饮品","果香","中餐;饮品;饮料;果茶;低热量","风味餐厅二楼"
"桃桃莓莓","90","0","0","12元","否","饮品","甜美","中餐;饮品;饮料;低热量","风味餐厅二楼"
"百香果双响炮","90","0","0","12元","否","饮品","酸甜","中餐;饮品;饮料;果茶;低热量","风味餐厅二楼"
"乌漆嘛黑(冷)","90","0","0","12元","否","饮品","酸甜","中餐;饮品;饮料;低热量","风味餐厅二楼"
"荔枝N次方","90","0","0","12元","否","饮品","清甜","中餐;饮品;饮料;果茶;低热量","风味餐厅二楼"
"桑葚柠檬茶","90","0","0","12元","否","饮品","酸甜","中餐;饮品;饮料;果茶;低热量","风味餐厅二楼"
"草莓爆柠檬","90","0","0","12元","否","饮品","酸甜","中餐;饮品;饮料;果茶;低热量","风味餐厅二楼"
"葡萄冻冻茶","90","0","0","14元","否","饮品","果香","中餐;饮品;饮料;果茶;低热量","风味餐厅二楼"
"多肉葡萄鲜椰","90","0","0","12元","否","饮品","清爽","中餐;饮品;饮料;果茶;低热量","风味餐厅二楼"
"生打椰椰冻","90","0","0","12元","否","饮品","椰香","中餐;饮品;饮料;低热量","风味餐厅二楼"
"生打椰椰芒","90","0","0","12元","否","饮品","椰香","中餐;饮品;饮料;低热量","风味餐厅二楼"
"生打椰椰莓","90","0","0","12元","否","饮品","椰香","中餐;饮品;饮料;低热量","风味餐厅二楼"
"杨枝甘露","180","1","3","14元","否","饮品","浓郁","中餐;饮品;饮料;低热量","风味餐厅二楼"
"葡萄养乐多","90","0","0","10元","否","饮品","酸甜","中餐;饮品;饮料;果茶;低热量","风味餐厅二楼"
"草莓养乐多","90","0","0","10元","否","饮品","酸甜","中餐;饮品;饮料;果茶;低热量","风味餐厅二楼"
"凤梨养乐多","90","0","0","10元","否","饮品","酸甜","中餐;饮品;饮料;果茶;低热量","风味餐厅二楼"
"百香果养乐多","90","0","0","10元","否","饮品","酸甜","中餐;饮品;饮料;果茶;低热量","风味餐厅二楼"
"绿茶养乐多","90","0","0","10元","否","饮品","清爽","中餐;饮品;饮料;果茶;低热量","风味餐厅二楼"
"水蜜桃养乐多","90","0","0","10元","否","饮品","酸甜","中餐;饮品;饮料;果茶;低热量","风味餐厅二楼"
"经典美式","90","0","0","12元","否","饮品","微苦","中餐;饮品;饮料;咖啡;低热量","风味餐厅二楼"
"热拿铁","260","2","8","14元","否","饮品","奶香","中餐;饮品;饮料;咖啡;普通能量","风味餐厅二楼"
"生椰拿铁","260","2","8","14元","否","饮品","椰香","中餐;饮品;饮料;咖啡;普通能量","风味餐厅二楼"
"牛油果厚酸奶","380","3","12","14元","否","饮品","浓郁","中餐;饮品;饮料;酸奶;普通能量","风味餐厅二楼"
"牛油果椰椰冰","380","3","12","14元","否","饮品","清甜","中餐;饮品;饮料;普通能量","风味餐厅二楼"
"牛油果生椰拿铁","380","3","12","15元","否","饮品","醇厚","中餐;饮品;饮料;咖啡;普通能量","风味餐厅二楼"
"草莓果茸","380","3","12","12元","否","饮品","咸甜","中餐;饮品;饮料;果茶;普通能量","风味餐厅二楼"
"芒果果茸","380","3","12","12元","否","饮品","咸甜","中餐;饮品;饮料;果茶;普通能量","风味餐厅二楼"
"凤梨果茸","380","3","12","12元","否","饮品","咸甜","中餐;饮品;饮料;果茶;普通能量","风味餐厅二楼"
"多肉葡萄果茸","380","3","12","12元","否","饮品","咸甜","中餐;饮品;饮料;果茶;普通能量","风味餐厅二楼"
"夏黑桑葚葡萄果茸","380","3","12","12元","否","饮品","咸甜","中餐;饮品;饮料;果茶;普通能量","风味餐厅二楼"
"草莓奶昔","380","3","12","10元","否","饮品","奶香","中餐;饮品;饮料;果茶;普通能量","风味餐厅二楼"
"芒果奶昔","380","3","12","10元","否","饮品","奶香","中餐;饮品;饮料;果茶;普通能量","风味餐厅二楼"
"蓝莓奶昔","380","3","12","10元","否","饮品","奶香","中餐;饮品;饮料;果茶;普通能量","风味餐厅二楼"
"凤梨奶昔","380","3","12","10元","否","饮品","奶香","中餐;饮品;饮料;果茶;普通能量","风味餐厅二楼"
"水蜜桃奶昔","380","3","12","10元","否","饮品","奶香","中餐;饮品;饮料;普通能量","风味餐厅二楼"
"抹茶星冰乐","380","3","12","12元","否","饮品","清香","中餐;饮品;饮料;咖啡;普通能量","风味餐厅二楼"
"芒果酸奶酪酪","260","2","8","12元","否","饮品","酸甜","中餐;饮品;饮料;果茶;酸奶;普通能量","风味餐厅二楼"
"草莓酸奶酪酪","260","2","8","12元","否","饮品","酸甜","中餐;饮品;饮料;果茶;酸奶;普通能量","风味餐厅二楼"
"凤梨酸奶酪酪","260","2","8","12元","否","饮品","酸甜","中餐;饮品;饮料;果茶;酸奶;普通能量","风味餐厅二楼"
"桑葚酸奶酪酪","260","2","8","12元","否","饮品","酸甜","中餐;饮品;饮料;果茶;酸奶;普通能量","风味餐厅二楼"
"蓝莓酸奶酪酪","260","2","8","13元","否","饮品","酸甜","中餐;饮品;饮料;果茶;酸奶;普通能量","风味餐厅二楼"
"香橙接骨木花(冷)","90","0","0","13元","否","饮品","果香","中餐;饮品;饮料;果茶;低热量","风味餐厅二楼"
"柠檬水","90","0","0","4元","否","饮品","酸","中餐;饮品;饮料;果茶;低热量","风味餐厅二楼"
"酸梅汤","90","0","0","3元","否","饮品","酸甜","中餐;饮品;汤品;饮料;汤粥;低热量","风味餐厅二楼"
"小叶茉莉","90","0","0","4元","否","饮品","清香","中餐;饮品;饮料;低热量","风味餐厅二楼"
"蜜香红茶","90","0","0","4元","否","饮品","清甜","中餐;饮品;饮料;低热量","风味餐厅二楼"
"草莓果奶脏脏","380","3","12","12元","否","饮品","甜润","中餐;饮品;饮料;果茶;普通能量","风味餐厅二楼"
"芒果果奶脏脏","380","3","12","12元","否","饮品","甜润","中餐;饮品;饮料;果茶;普通能量","风味餐厅二楼"
"凤梨果奶脏脏","380","3","12","12元","否","饮品","甜润","中餐;饮品;饮料;果茶;普通能量","风味餐厅二楼"
"蓝莓果奶脏脏","380","3","12","13元","否","饮品","甜润","中餐;饮品;饮料;果茶;普通能量","风味餐厅二楼"
"荤素自选(称重)","150","8","6","1.98元/两","否","自选","咸鲜","中餐;自选;荤菜;素菜;低热量","风味餐厅二楼"
"万州烤鱼","1200","95","65","58元/条","中辣","主菜","香辣;咸鲜","中餐;荤菜;素菜;烤鱼;高蛋白;高脂;高热量","风味餐厅二楼"
"麻辣香锅","350","15","22","1.98元/两","自选","干锅","香辣;微辣;特辣;酱香","中餐;干锅;高脂","风味餐厅二楼"
"麻辣烫","180","8","6","1.98元/两","自选","汤菜","麻辣;骨汤;番茄","中餐;汤品;素菜;汤粥;火锅;低热量","风味餐厅二楼"
"米饭","230","5","1","1元/碗","不辣","主食","清淡","中餐;主食","风味餐厅二楼"
"蛋炒饭","550","13","16","10元","不辣","主食","咸鲜","中餐;主食;炒饭","风味餐厅二楼"
"腊肠炒饭","680","16","28","14元","不辣","主食","咸鲜;腊香","中餐;主食;炒饭;高脂;高热量","风味餐厅二楼"
"虾仁鸡蛋炒饭","580","22","15","14元","不辣","主食","鲜美","中餐;主食;蛋类;荤菜;炒饭;高蛋白","风味餐厅二楼"
"培根炒饭","640","15","24","13元","不辣","主食","咸鲜","中餐;主食;荤菜;炒饭;高脂","风味餐厅二楼"
"老干妈鸡肉炒饭","660","20","22","13元","微辣","主食","香辣;咸鲜","中餐;主食;荤菜;炒饭;高蛋白;高脂;高热量","风味餐厅二楼"
"咖喱鸡肉炒饭","620","19","18","13元","微辣","主食","咖喱味","中餐;主食;荤菜;炒饭","风味餐厅二楼"
"尖椒肉丝炒饭","630","18","22","13元","中辣","主食","香辣;咸鲜","中餐;主食;荤菜;炒饭;高脂","风味餐厅二楼"
"香菇鸡腿炒饭","610","21","17","13元","不辣","主食","鲜香","中餐;主食;荤菜;素菜;炒饭;高蛋白","风味餐厅二楼"
"扬州炒饭","560","15","14","12元","不辣","主食","清淡;鲜美","中餐;主食;炒饭","风味餐厅二楼"
"奥尔良鸡腿炒饭","630","22","18","13元","不辣","主食","奥尔良味;微甜","中餐;主食;荤菜;炒饭;高蛋白","风味餐厅二楼"
"香辣牛肉面","520","18","14","6元","中辣","面食","香辣","中餐;面食;荤菜;面条","风味餐厅二楼"
"老坛酸菜面","490","12","13","6元","微辣","面食","酸辣;鲜美","中餐;面食;素菜;面条","风味餐厅二楼"
"酸辣牛肉面","530","18","15","6元","中辣","面食","酸辣","中餐;面食;荤菜;面条","风味餐厅二楼"
"海鲜面","460","20","8","6元","不辣","面食","鲜美","中餐;面食;面条;高蛋白","风味餐厅二楼"
"红烧牛肉面","540","19","16","6元","微辣","面食","咸鲜;酱香","中餐;面食;荤菜;面条","风味餐厅二楼"
"加鸡蛋(煎)","120","7","9","2元","不辣","加料","咸鲜","中餐;小吃;蛋类;加料;低热量","风味餐厅二楼"
"加火腿肠","150","5","11","2元","不辣","加料","咸鲜","中餐;小吃;荤菜;加料;低热量","风味餐厅二楼"
"东北麻辣拌","220","12","14","1.98/两","自选","凉拌菜","麻辣;酱香","中餐;小吃;素菜;低热量","风味餐厅二楼"
"米饭","230","5","1","1元","不辣","主食","清淡","中餐;主食","风味餐厅二楼"
"玉米虾仁炒饭","540","20","12","14元","不辣","主食","鲜美;清甜","中餐;主食;荤菜;素菜;炒饭;高蛋白","风味餐厅二楼"
"肉末鸡蛋炒饭","620","16","22","13元","不辣","主食","咸鲜","中餐;主食;蛋类;荤菜;炒饭;高脂","风味餐厅二楼"
"鲜肉小笼包","65","3.5","3","1元/个","不辣","面点","咸鲜;多汁","中餐;面食;荤菜;包子;低热量","风味餐厅二楼"
"香菇猪肉小笼包","60","3.2","2.8","1元/个","不辣","面点","鲜香","中餐;面食;荤菜;素菜;包子;低热量","风味餐厅二楼"
"牛肉小笼包","62","4","2.5","1.5元/个","不辣","面点","咸鲜;浓郁","中餐;面食;荤菜;包子;低热量","风味餐厅二楼"
"韭菜鸡蛋小笼包","45","1.8","1.5","0.8元/个","不辣","面点","鲜美","中餐;面食;蛋类;素菜;包子;低热量","风味餐厅二楼"
"西葫芦鸡蛋小笼包","42","1.7","1.3","0.8元/个","不辣","面点","清鲜","中餐;面食;蛋类;包子;低热量","风味餐厅二楼"
"蒸饺","55","2.5","2.2","1元/个","不辣","面点","咸鲜","中餐;面食;包子;低热量","风味餐厅二楼"
"茶叶蛋","80","7","5.5","1.5元一个","不辣","小吃","五香","中餐;小吃;饮料;低热量","风味餐厅二楼"
"原味豆浆","70","5","3.5","1.5元","不辣","饮品","豆香;微甜","中餐;饮品;饮料;低热量","风味餐厅二楼"
"南瓜小米粥","110","2","0.5","2元","不辣","粥品","清甜","中餐;汤品;素菜;汤粥;低热量","风味餐厅二楼"
"八宝粥","160","3.5","1","2元","不辣","粥品","甜润","中餐;汤品;汤粥;低热量","风味餐厅二楼"
"豆腐脑","90","6","4","2.5元","不辣","小吃","咸鲜","中餐;小吃;素菜;低热量","风味餐厅二楼"
"猪肉大葱饺子","480","18","22","14元","不辣","面食","咸鲜;葱香","中餐;面食;荤菜;面条;饺子;高脂","风味餐厅二楼"
"韭菜鸡蛋饺子","380","12","14","13元","不辣","面食","鲜美","中餐;面食;蛋类;素菜;面条;饺子","风味餐厅二楼"
"大馅馄饨","360","14","12","10元","不辣","面食","鲜美","中餐;面食;面条","风味餐厅二楼"
"川香回锅肉盖饭","780","22","35","14元","中辣","盖饭","香辣;咸鲜","中餐;主食;荤菜;盖饭;高蛋白;高脂;高热量","风味餐厅二楼"
"孜然烤肉盖饭","720","26","28","14元","微辣","盖饭","孜然味","中餐;主食;荤菜;盖饭;高蛋白;高脂;高热量","风味餐厅二楼"
"木须肉盖饭","650","20","18","14元","不辣","盖饭","咸鲜","中餐;主食;荤菜;盖饭;高蛋白;高热量","风味餐厅二楼"
"鱼香肉丝盖饭","680","18","22","14元","鱼香味","盖饭","酸甜;微辣","中餐;主食;荤菜;盖饭;高脂;高热量","风味餐厅二楼"
"尖椒肉丝盖饭","660","19","21","14元","中辣","盖饭","香辣;咸鲜","中餐;主食;荤菜;盖饭;高脂;高热量","风味餐厅二楼"
"蒜苔肉丝盖饭","640","18","19","14元","不辣","盖饭","咸鲜","中餐;主食;荤菜;盖饭","风味餐厅二楼"
"宫爆鸡丁盖饭","690","24","22","14元","微辣","盖饭","糊辣;酸甜","中餐;主食;荤菜;盖饭;高蛋白;高脂;高热量","风味餐厅二楼"
"酱爆鸡丁盖饭","670","23","20","14元","不辣","盖饭","酱香;微甜","中餐;主食;荤菜;盖饭;高蛋白;高脂;高热量","风味餐厅二楼"
"香辣肉丝盖饭","660","19","21","14元","中辣","盖饭","香辣","中餐;主食;荤菜;盖饭;高脂;高热量","风味餐厅二楼"
"老干妈鸡丁盖饭","680","23","22","14元","微辣","盖饭","香辣;咸鲜","中餐;主食;荤菜;盖饭;高蛋白;高脂;高热量","风味餐厅二楼"
"湘西小炒肉盖饭","740","21","30","14元","特辣","盖饭","香辣;鲜咸","中餐;主食;荤菜;盖饭;小炒;高蛋白;高脂;高热量","风味餐厅二楼"
"红烧肉盖饭","850","22","45","15元","不辣","盖饭","咸甜;酱香","中餐;主食;荤菜;盖饭;高蛋白;高脂;高热量","风味餐厅二楼"
"蒜苔腊肉盖饭","760","18","32","15元","不辣","盖饭","咸鲜;腊香","中餐;主食;荤菜;盖饭;高脂;高热量","风味餐厅二楼"
"滑蛋肉片盖饭","630","22","18","15元","不辣","盖饭","鲜嫩;清淡","中餐;主食;蛋类;荤菜;盖饭;高蛋白","风味餐厅二楼"
"蛋炒肉盖饭","680","22","23","15元","不辣","盖饭","咸鲜","中餐;主食;荤菜;盖饭;高蛋白;高脂;高热量","风味餐厅二楼"
"茶树菇牛柳盖饭","640","25","16","16元","不辣","盖饭","鲜香","中餐;主食;荤菜;素菜;盖饭;饮料;高蛋白","风味餐厅二楼"
"烧椒黑椒牛柳盖饭","660","25","18","16元","中辣","盖饭","黑椒味;烧椒香","中餐;主食;荤菜;盖饭;高蛋白;高热量","风味餐厅二楼"
"脆笋牛柳盖饭","620","24","15","16元","微辣","盖饭","咸鲜;脆嫩","中餐;主食;荤菜;素菜;盖饭;高蛋白","风味餐厅二楼"
"脆笋肉片盖饭","630","19","19","15元","微辣","盖饭","咸鲜","中餐;主食;荤菜;素菜;盖饭","风味餐厅二楼"
"腐竹肉片盖饭","660","22","21","15元","不辣","盖饭","咸鲜","中餐;主食;荤菜;素菜;盖饭;高蛋白;高脂;高热量","风味餐厅二楼"
"梅菜扣肉饭","880","20","48","15元","不辣","盖饭","咸甜;酱香","中餐;主食;荤菜;素菜;盖饭;高蛋白;高脂;高热量","风味餐厅二楼"
"肉酱茄子盖饭","680","12","28","12元","不辣","盖饭","酱香","中餐;主食;荤菜;素菜;盖饭;高脂;高热量","风味餐厅二楼"
"肉酱豆腐盖饭","580","16","18","12元","不辣","盖饭","酱香","中餐;主食;荤菜;素菜;盖饭","风味餐厅二楼"
"尖椒鸡蛋盖饭","590","14","18","12元","中辣","盖饭","香辣","中餐;主食;蛋类;盖饭","风味餐厅二楼"
"地三鲜盖饭","610","8","22","12元","不辣","盖饭","咸鲜","中餐;主食;盖饭;高脂","风味餐厅二楼"
"红烧茄子盖饭","640","6","26","12元","不辣","盖饭","咸甜","中餐;主食;素菜;盖饭;高脂","风味餐厅二楼"
"西红柿鸡蛋盖饭","560","13","14","12元","不辣","盖饭","酸甜","中餐;主食;蛋类;盖饭","风味餐厅二楼"
"干锅土豆片","420","5","18","14元","微辣","干锅","香辣;咸鲜","中餐;素菜;干锅","风味餐厅二楼"
"干锅娃娃菜","280","6","16","14元","微辣","干锅","鲜香;微辣","中餐;素菜;干锅","风味餐厅二楼"
"干锅菜花","310","7","18","15元","微辣","干锅","咸鲜;微辣","中餐;素菜;干锅","风味餐厅二楼"
"干锅千叶豆腐","460","18","24","15元","中辣","干锅","香辣;酱香","中餐;素菜;干锅;高脂","风味餐厅二楼"
"干锅骨肉相连","620","24","28","18元","微辣","干锅","咸甜;微辣","中餐;荤菜;干锅;高蛋白;高脂","风味餐厅二楼"
"干锅麻辣腐竹","480","20","26","18元","中辣","干锅","麻辣;酱香","中餐;素菜;干锅;高蛋白;高脂","风味餐厅二楼"
"干锅五花肉茶树菇","680","18","42","18元","微辣","干锅","鲜香;咸鲜","中餐;荤菜;素菜;饮料;干锅;高脂;高热量","风味餐厅二楼"
"干锅湘西小炒肉","720","22","38","18元","特辣","干锅","香辣;鲜咸","中餐;荤菜;干锅;小炒;高蛋白;高脂;高热量","风味餐厅二楼"
"干锅藕片五花肉","650","15","38","20元","微辣","干锅","咸鲜;微辣","中餐;荤菜;素菜;干锅;高脂;高热量","风味餐厅二楼"
"干锅什锦三菌菇","340","11","18","20元","微辣","干锅","鲜香","中餐;素菜;干锅","风味餐厅二楼"
"干锅全家福","720","28","42","20元","中辣","干锅","香辣;咸鲜","中餐;干锅;高蛋白;高脂;高热量","风味餐厅二楼"
"干锅杏鲍菇","320","8","16","16元","微辣","干锅","鲜美;微辣","中餐;素菜;干锅","风味餐厅二楼"
"干锅麻辣鲜蘑","330","9","17","16元","中辣","干锅","麻辣","中餐;干锅","风味餐厅二楼"
"干锅千张","440","22","25","16元","中辣","干锅","香辣;酱香","中餐;素菜;干锅;高蛋白;高脂","风味餐厅二楼"
"干锅鸡蛋干","460","24","22","18元","微辣","干锅","咸鲜","中餐;蛋类;干锅;高蛋白;高脂","风味餐厅二楼"
"干锅椒麻鸭","680","26","35","18元","椒麻","干锅","椒麻;麻辣","中餐;荤菜;干锅;高蛋白;高脂;高热量","风味餐厅二楼"
"干锅辣子鸡","710","28","32","18元","中辣","干锅","香辣;麻辣","中餐;干锅;高蛋白;高脂;高热量","风味餐厅二楼"
"干锅炒仔鸡","690","27","30","18元","微辣","干锅","咸鲜;微辣","中餐;干锅;高蛋白;高脂;高热量","风味餐厅二楼"
"擂椒蒜蓉茄泥拌饭","520","10","14","14元","中辣","拌饭","蒜香;酸辣","中餐;主食;拌饭","风味餐厅二楼"
"擂椒茄汁鸡蛋拌饭","560","14","16","14元","微辣","拌饭","茄汁;鲜辣","中餐;主食;蛋类;拌饭","风味餐厅二楼"
"擂椒雪菜鸡蛋拌饭","550","13","15","14元","中辣","拌饭","咸鲜;鲜辣","中餐;主食;蛋类;素菜;拌饭","风味餐厅二楼"
"擂椒孜然烤肉拌饭","690","24","25","15元","中辣","拌饭","孜然味;鲜辣","中餐;主食;荤菜;拌饭;高蛋白;高脂;高热量","风味餐厅二楼"
"擂椒豉香鸡丁拌饭","660","23","20","15元","中辣","拌饭","豉香;鲜辣","中餐;主食;荤菜;拌饭;高蛋白;高脂;高热量","风味餐厅二楼"
"擂椒鸭腿饭","720","26","28","16元","中辣","拌饭","鲜美;鲜辣","中餐;主食;荤菜;拌饭;高蛋白;高脂;高热量","风味餐厅二楼"
"擂椒鸡翅根饭","680","24","22","16元","中辣","拌饭","鲜美;鲜辣","中餐;主食;拌饭;高蛋白;高脂;高热量","风味餐厅二楼"
"擂椒雪菜肉丁拌饭","670","18","24","16元","中辣","拌饭","咸鲜;鲜辣","中餐;主食;荤菜;素菜;拌饭;高脂;高热量","风味餐厅二楼"
"擂椒小炒肉拌饭","710","21","32","16元","特辣","拌饭","香辣;鲜咸","中餐;主食;荤菜;拌饭;小炒;高蛋白;高脂;高热量","风味餐厅二楼"
"擂椒红烧肉拌饭","820","20","42","16元","中辣","拌饭","咸甜;酱香;鲜辣","中餐;主食;荤菜;拌饭;高蛋白;高脂;高热量","风味餐厅二楼"
"擂椒把子肉拌饭","850","22","46","16元","中辣","拌饭","酱香;浓郁;鲜辣","中餐;主食;荤菜;拌饭;高蛋白;高脂;高热量","风味餐厅二楼"
"擂椒肥牛拌饭","740","26","28","18元","中辣","拌饭","鲜美;鲜辣","中餐;主食;荤菜;拌饭;高蛋白;高脂;高热量","风味餐厅二楼"
"擂椒扣肉拌饭","840","19","45","18元","中辣","拌饭","酱香;咸甜;鲜辣","中餐;主食;荤菜;拌饭;高脂;高热量","风味餐厅二楼"
"黑椒鸡扒饭","620","25","18","14元","微辣","扒饭","黑椒味","中餐;主食;荤菜;扒饭;高蛋白","风味餐厅二楼"
"咖喱鸡扒饭","640","24","20","14元","微辣","扒饭","咖喱味","中餐;主食;荤菜;扒饭;高蛋白;高脂","风味餐厅二楼"
"茄汁鸡扒饭","610","24","16","14元","不辣","扒饭","酸甜","中餐;主食;荤菜;扒饭;高蛋白","风味餐厅二楼"
"麻辣鸡扒饭","630","25","19","14元","中辣","扒饭","麻辣","中餐;主食;荤菜;扒饭;高蛋白","风味餐厅二楼"
"黑椒猪扒饭","680","23","26","16元","微辣","扒饭","黑椒味","中餐;主食;荤菜;扒饭;高蛋白;高脂;高热量","风味餐厅二楼"
"咖喱猪扒饭","700","22","28","16元","微辣","扒饭","咖喱味","中餐;主食;荤菜;扒饭;高蛋白;高脂;高热量","风味餐厅二楼"
"茄汁猪扒饭","670","22","24","16元","不辣","扒饭","酸甜","中餐;主食;荤菜;扒饭;高蛋白;高脂;高热量","风味餐厅二楼"
"麻辣猪扒饭","690","23","27","16元","中辣","扒饭","麻辣","中餐;主食;荤菜;扒饭;高蛋白;高脂;高热量","风味餐厅二楼"
"黑椒牛扒饭","660","28","22","18元","微辣","扒饭","黑椒味","中餐;主食;荤菜;扒饭;高蛋白;高脂;高热量","风味餐厅二楼"
"麻辣牛扒饭","670","28","23","18元","中辣","扒饭","麻辣","中餐;主食;荤菜;扒饭;高蛋白;高脂;高热量","风味餐厅二楼"
"咖喱牛扒饭","680","27","24","18元","微辣","扒饭","咖喱味","中餐;主食;荤菜;扒饭;高蛋白;高脂;高热量","风味餐厅二楼"
"茄汁牛扒饭","650","27","20","18元","不辣","扒饭","酸甜","中餐;主食;荤菜;扒饭;高蛋白;高脂;高热量","风味餐厅二楼"
"甜香玉米滑蛋饭","520","12","14","12元","不辣","滑蛋饭","清甜;清淡","中餐;主食;蛋类;素菜;滑蛋饭","风味餐厅二楼"
"香煎鸡肉滑蛋饭","580","22","18","14元","不辣","滑蛋饭","咸鲜","中餐;主食;蛋类;荤菜;滑蛋饭;高蛋白","风味餐厅二楼"
"风味火腿滑蛋饭","560","15","20","14元","不辣","滑蛋饭","咸鲜","中餐;主食;蛋类;荤菜;滑蛋饭;高脂","风味餐厅二楼"
"焦香培根滑蛋饭","620","16","26","14元","不辣","滑蛋饭","咸鲜;烟熏","中餐;主食;蛋类;荤菜;滑蛋饭;高脂","风味餐厅二楼"
"广式腊肠滑蛋饭","650","15","28","15元","不辣","滑蛋饭","咸甜;腊香","中餐;主食;蛋类;滑蛋饭;高脂;高热量","风味餐厅二楼"
"川式腊肠滑蛋饭","660","15","29","15元","微辣","滑蛋饭","麻辣;咸鲜","中餐;主食;蛋类;滑蛋饭;高脂;高热量","风味餐厅二楼"
"奥良鸡排滑蛋饭","610","24","20","15元","不辣","滑蛋饭","奥尔良味","中餐;主食;蛋类;荤菜;滑蛋饭;炸鸡;高蛋白;高脂","风味餐厅二楼"
"里脊猪扒滑蛋饭","640","22","22","16元","不辣","滑蛋饭","咸鲜","中餐;主食;蛋类;荤菜;滑蛋饭;高蛋白;高脂","风味餐厅二楼"
"鲜弹虾仁滑蛋饭","510","24","12","16元","不辣","滑蛋饭","鲜美;清淡","中餐;主食;蛋类;荤菜;滑蛋饭;高蛋白","风味餐厅二楼"
"嫩滑牛肉滑蛋饭","590","26","16","18元","不辣","滑蛋饭","鲜嫩","中餐;主食;蛋类;荤菜;滑蛋饭;高蛋白","风味餐厅二楼"
"香煎鱿鱼滑蛋饭","540","25","13","18元","不辣","滑蛋饭","鲜美","中餐;主食;蛋类;滑蛋饭;高蛋白","风味餐厅二楼"
"鲜嫩肥牛滑蛋饭","680","24","28","20元","不辣","滑蛋饭","浓郁;咸鲜","中餐;主食;蛋类;荤菜;滑蛋饭;高蛋白;高脂;高热量","风味餐厅二楼"
"铁板烧汁鸡肉饭","650","24","18","15元","不辣","铁板饭","酱香;咸甜","中餐;主食;荤菜;高蛋白;高热量","风味餐厅二楼"
"铁板烧汁五花肉","780","18","38","16元","不辣","铁板饭","酱香;浓郁","中餐;主食;荤菜;高脂;高热量","风味餐厅二楼"
"铁板烧汁鱿鱼饭","580","26","12","18元","不辣","铁板饭","酱香;鲜美","中餐;主食;高蛋白","风味餐厅二楼"
"铁板烧汁牛肉饭","680","27","19","18元","不辣","铁板饭","酱香;咸鲜","中餐;主食;荤菜;高蛋白;高热量","风味餐厅二楼"
